p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	cellline
PHLPP1	0	0.780817252743795	0.662	0.486	0	A	PHLPP1	mb231
PDE4D	0	0.686373226693162	0.837	0.663	0	A	PDE4D	mb231
CD9	0	0.697931525571867	0.622	0.454	0	A	CD9	mb231
TTC28	0	0.385130075626745	0.832	0.664	0	A	TTC28	mb231
FMN1	0	1.0052137892178	0.926	0.763	0	A	FMN1	mb231
FOXP1	0	1.01194342779842	0.969	0.807	0	A	FOXP1	mb231
ITGB4	0	0.588922304017451	0.687	0.527	0	A	ITGB4	mb231
MMP14	0	0.500763914957681	0.773	0.614	0	A	MMP14	mb231
ALS2	0	0.748820736679303	0.724	0.567	0	A	ALS2	mb231
CBX5	0	0.761925672219782	0.847	0.69	0	A	CBX5	mb231
PLEKHA6	0	0.773977128394091	0.681	0.526	0	A	PLEKHA6	mb231
KLHL5	0	0.66019802130224	0.825	0.67	0	A	KLHL5	mb231
SEMA3C	0	0.786467914368383	0.952	0.798	0	A	SEMA3C	mb231
LPIN2	0	0.652301959793462	0.757	0.608	0	A	LPIN2	mb231
IGFBP4	0	1.10789559988202	0.962	0.814	0	A	IGFBP4	mb231
STK17B	0	0.737050975446097	0.648	0.502	0	A	STK17B	mb231
SLC4A7	0	0.534029578351518	0.785	0.646	0	A	SLC4A7	mb231
NDC1	0	0.709709081229597	0.781	0.643	0	A	NDC1	mb231
NRG1	0	0.46563458212581	0.848	0.71	0	A	NRG1	mb231
CD55	0	0.567249002031809	0.804	0.666	0	A	CD55	mb231
SUCO	0	0.657808718371425	0.801	0.667	0	A	SUCO	mb231
ARHGEF28	0	0.743921028678697	0.897	0.764	0	A	ARHGEF28	mb231
MCTP1	0	0.595242280934852	0.766	0.634	0	A	MCTP1	mb231
PHACTR2	0	0.604247527510801	0.791	0.66	0	A	PHACTR2	mb231
SH3RF3	0	0.705422516174899	0.876	0.746	0	A	SH3RF3	mb231
IGF1R	0	0.663337431360978	0.825	0.696	0	A	IGF1R	mb231
AHR	0	0.628133041538589	0.82	0.692	0	A	AHR	mb231
DNAJC10	0	0.608235711394743	0.797	0.67	0	A	DNAJC10	mb231
ITFG1	0	0.727795798844782	0.902	0.775	0	A	ITFG1	mb231
TRAPPC9	0	0.557589221509366	0.765	0.642	0	A	TRAPPC9	mb231
PAWR	0	0.68734289103682	0.834	0.711	0	A	PAWR	mb231
OSBPL10	0	0.728283214062919	0.93	0.809	0	A	OSBPL10	mb231
KIAA0586	0	0.594707107372135	0.775	0.661	0	A	KIAA0586	mb231
PHKB	0	0.612161402491959	0.869	0.755	0	A	PHKB	mb231
ITGA2	0	0.71070921030869	0.983	0.869	0	A	ITGA2	mb231
ZFYVE28	0	0.584865525244507	0.878	0.765	0	A	ZFYVE28	mb231
GALNT10	0	0.750287618087987	0.945	0.835	0	A	GALNT10	mb231
PLEKHA7	0	0.764920124971754	0.93	0.821	0	A	PLEKHA7	mb231
NEK7	0	0.604039465048301	0.845	0.736	0	A	NEK7	mb231
DAG1	0	0.576336942553717	0.837	0.729	0	A	DAG1	mb231
COL13A1	0	0.444625548184922	0.874	0.769	0	A	COL13A1	mb231
KRT7	0	0.528702801767025	0.814	0.71	0	A	KRT7	mb231
CAMK2D	0	0.523604721937382	0.881	0.777	0	A	CAMK2D	mb231
PYGB	0	0.509319188743289	0.847	0.744	0	A	PYGB	mb231
NRP1	0	0.360793706284939	0.974	0.875	0	A	NRP1	mb231
NIN	0	0.494843463309452	0.822	0.723	0	A	NIN	mb231
HMGA1	0	0.422546660675242	0.93	0.833	0	A	HMGA1	mb231
MET	0	0.552300101516623	0.913	0.82	0	A	MET	mb231
CLASP2	0	0.558010233579358	0.848	0.755	0	A	CLASP2	mb231
ASPH	0	0.657566689574653	0.977	0.885	0	A	ASPH	mb231
FMNL2	0	0.492459894626788	0.91	0.82	0	A	FMNL2	mb231
UBE2E3	0	0.541661963442569	0.896	0.806	0	A	UBE2E3	mb231
MECOM	0	0.703628416637648	0.948	0.861	0	A	MECOM	mb231
VPS53	0	0.470715026380983	0.879	0.797	0	A	VPS53	mb231
HMGA2	0	0.545578263463823	0.978	0.903	0	A	HMGA2	mb231
FHIT	0	0.894910357695895	0.939	0.864	0	A	FHIT	mb231
MIR924HG	0	0.508518245882855	0.859	0.785	0	A	MIR924HG	mb231
KNTC1	0	0.466080678464695	0.858	0.787	0	A	KNTC1	mb231
SLC38A1	0	0.408061238371865	0.94	0.872	0	A	SLC38A1	mb231
PPP1R12A	0	0.512612191727078	0.925	0.859	0	A	PPP1R12A	mb231
SUPT16H	0	0.426336150346583	0.881	0.815	0	A	SUPT16H	mb231
DSTN	0	0.732289375697385	0.968	0.903	0	A	DSTN	mb231
ITGA6	0	0.718287232254144	0.969	0.905	0	A	ITGA6	mb231
PNN	0	0.44589195530873	0.888	0.826	0	A	PNN	mb231
LINC02742	0	0.39415149796906	0.979	0.922	0	A	LINC02742	mb231
PBRM1	0	0.414401513689203	0.913	0.857	0	A	PBRM1	mb231
VPS13B	0	0.567663482683519	0.952	0.896	0	A	VPS13B	mb231
ACTR3	0	0.405244644309685	0.917	0.868	0	A	ACTR3	mb231
SLC20A1	0	0.913366946212766	0.984	0.936	0	A	SLC20A1	mb231
CALM1	0	0.437375359841913	0.946	0.902	0	A	CALM1	mb231
UBR5	0	0.385982718056974	0.937	0.895	0	A	UBR5	mb231
CORO1C	0	0.399905660023442	0.931	0.889	0	A	CORO1C	mb231
PRPF8	0	0.378186548578523	0.948	0.91	0	A	PRPF8	mb231
AOPEP	0	0.495757876607086	0.981	0.944	0	A	AOPEP	mb231
PLEC	0	0.430480766499371	0.969	0.933	0	A	PLEC	mb231
MAGI1	0	0.776401928384392	0.988	0.953	0	A	MAGI1	mb231
SPATS2L	0	0.409151118695815	0.967	0.934	0	A	SPATS2L	mb231
FUS	0	0.421064219709053	0.973	0.944	0	A	FUS	mb231
PCNX4	0	0.41289175767173	0.975	0.946	0	A	PCNX4	mb231
MAP1B	0	0.344273141213002	0.977	0.954	0	A	MAP1B	mb231
AP2B1	0	0.352659901087052	0.97	0.948	0	A	AP2B1	mb231
GOLGA4	0	0.312191082505319	0.976	0.957	0	A	GOLGA4	mb231
VIM	0	0.594097900771608	0.994	0.98	0	A	VIM	mb231
PTK2	0	0.580780616618657	0.993	0.982	0	A	PTK2	mb231
DYNC1H1	0	0.561884928686511	0.998	0.994	0	A	DYNC1H1	mb231
HSP90B1	0	0.305621899667575	0.996	0.993	0	A	HSP90B1	mb231
DST	0	0.210131423035003	0.999	0.997	0	A	DST	mb231
RIN2	5.40098004304483e-308	0.441338489760293	0.88	0.789	1.35067708916465e-303	A	RIN2	mb231
ZFPM2	8.83074073461585e-308	0.706507664920593	0.645	0.491	2.20839164291273e-303	A	ZFPM2	mb231
SLC35F3	7.67569259280735e-307	0.374668367863567	0.955	0.917	1.91953720360926e-302	A	SLC35F3	mb231
TNRC6A	6.92806881280057e-305	0.457750573746432	0.853	0.765	1.73257144870517e-300	A	TNRC6A	mb231
STT3B	1.06524126762608e-303	0.462684140238616	0.84	0.755	2.66395536207929e-299	A	STT3B	mb231
KTN1	2.1250048935574e-303	0.289541943423375	0.973	0.954	5.31421223780836e-299	A	KTN1	mb231
LAMC1	6.40469186507915e-303	0.39532382381149	0.91	0.859	1.60168534161899e-298	A	LAMC1	mb231
STRN3	1.22750192086152e-301	0.532196027293689	0.768	0.655	3.06973680369048e-297	A	STRN3	mb231
ETNK1	6.02313403214109e-301	0.551716034446469	0.735	0.602	1.50626535875784e-296	A	ETNK1	mb231
FIGN	4.64495435230671e-299	0.607676219881481	0.693	0.553	1.16161018442486e-294	A	FIGN	mb231
BLTP3B	2.17870044119807e-296	0.616479330026119	0.685	0.555	5.44849406334814e-292	A	BLTP3B	mb231
LAMB1	6.74932141562741e-294	0.476914822938802	0.847	0.757	1.6878702996201e-289	A	LAMB1	mb231
LPAR1	9.18293440398273e-294	0.436970188642925	0.7	0.521	2.296468235748e-289	A	LPAR1	mb231
LINC02211	2.09367922468957e-293	0.589774994722836	0.696	0.546	5.23587300510369e-289	A	LINC02211	mb231
RAD21	4.92171728732294e-293	0.386998627837673	0.93	0.889	1.23082305921372e-288	A	RAD21	mb231
CYRIB	2.1629268905122e-292	0.411010841129367	0.9	0.845	5.40904756779292e-288	A	CYRIB	mb231
TM4SF1	1.47900216883402e-289	0.508404902177131	0.793	0.68	3.69868862382012e-285	A	TM4SF1	mb231
MSRB3	6.24349418387363e-289	0.537032543547466	0.755	0.641	1.56137302550312e-284	A	MSRB3	mb231
LRP5	5.40101248954262e-286	0.616796694949256	0.743	0.627	1.35068520338482e-281	A	LRP5	mb231
OXSR1	8.72203454648979e-286	0.430632661781585	0.855	0.78	2.18120639938617e-281	A	OXSR1	mb231
LDHB	2.75668847673151e-285	0.379443739168881	0.901	0.844	6.89392654261015e-281	A	LDHB	mb231
GULP1	1.5999992496277e-284	0.57514536520812	0.721	0.592	4.00127812346894e-280	A	GULP1	mb231
SETD5	6.86402969805274e-284	0.299546655380478	0.972	0.951	1.71655654688903e-279	A	SETD5	mb231
TMX3	6.42969613934145e-282	0.655125465748848	0.62	0.477	1.60793841052651e-277	A	TMX3	mb231
LGALS8	1.04290450529851e-280	0.622077086387301	0.656	0.522	2.60809558685052e-276	A	LGALS8	mb231
ABR	4.78397258394115e-279	0.585020613861115	0.707	0.58	1.196375863792e-274	A	ABR	mb231
ECT2	2.05832297136514e-278	0.377316639148037	0.923	0.867	5.14745408678995e-274	A	ECT2	mb231
GAS6	5.52885419689305e-278	0.554954974759033	0.755	0.639	1.38265585755901e-273	A	GAS6	mb231
CPNE8	5.89677278513857e-278	0.478056306062949	0.744	0.595	1.47466493810745e-273	A	CPNE8	mb231
TSPAN5	2.75557140651728e-276	0.466055166794572	0.771	0.628	6.89113297341842e-272	A	TSPAN5	mb231
FANCD2	1.59495867848906e-275	0.660405787970774	0.626	0.491	3.98867266316544e-271	A	FANCD2	mb231
MAP4K5	1.14990867927761e-274	0.385211124946265	0.862	0.782	2.87569162513745e-270	A	MAP4K5	mb231
SRGAP1	1.62479983490672e-271	0.416162610895436	0.845	0.744	4.06329942713471e-267	A	SRGAP1	mb231
EDIL3	5.89228544698114e-270	0.366905642460386	0.883	0.779	1.47354274458104e-265	A	EDIL3	mb231
RBMS2	6.16080116380041e-269	0.474050253865953	0.767	0.64	1.54069315504321e-264	A	RBMS2	mb231
CMC1	1.46038969418514e-267	0.662467365108896	0.607	0.47	3.6521425472182e-263	A	CMC1	mb231
ANAPC7	5.57105464873107e-266	0.567139214590381	0.693	0.579	1.39320934655467e-261	A	ANAPC7	mb231
TACC1	3.52132098585401e-265	0.470323976070228	0.783	0.681	8.8061195214237e-261	A	TACC1	mb231
AZIN1	5.13221621966931e-265	0.441166205896284	0.823	0.741	1.2834646322149e-260	A	AZIN1	mb231
BMAL2	2.65462490531409e-263	0.541632435632842	0.669	0.524	6.63868596320948e-259	A	BMAL2	mb231
MDM2	4.15931058162108e-262	0.494295388821856	0.754	0.646	1.0401603902518e-257	A	MDM2	mb231
ANAPC5	2.28488167725012e-261	0.503981107181156	0.767	0.66	5.71403209846711e-257	A	ANAPC5	mb231
WNK1	6.69580826704725e-261	0.330841807008716	0.93	0.88	1.67448773142318e-256	A	WNK1	mb231
CDC42BPA	3.08632229567385e-260	0.288342682497654	0.978	0.963	7.71827479702116e-256	A	CDC42BPA	mb231
HECTD1	7.19785300551646e-259	0.423639410920421	0.83	0.745	1.80003907961955e-254	A	HECTD1	mb231
QKI	1.19012698526184e-258	0.506801004606466	0.796	0.71	2.97626956474281e-254	A	QKI	mb231
LAMA5	2.32609105847328e-257	0.474859935677706	0.826	0.723	5.81708851902999e-253	A	LAMA5	mb231
RALGAPA1	2.72210538424255e-257	0.592158315221969	0.647	0.508	6.80744114491378e-253	A	RALGAPA1	mb231
BCAT1	1.22579744088553e-256	0.441442800254268	0.821	0.727	3.06547424016652e-252	A	BCAT1	mb231
PPP2R5E	8.84953502175955e-256	0.424106614867573	0.841	0.774	2.21309171824163e-251	A	PPP2R5E	mb231
DOCK1	2.43143056038411e-253	0.364130460328304	0.899	0.845	6.08052154540859e-249	A	DOCK1	mb231
LRP6	1.78862008092314e-252	0.492972719582824	0.752	0.645	4.47298109837259e-248	A	LRP6	mb231
SMARCC1	2.72454685385804e-251	0.362731686553397	0.909	0.869	6.81354677212819e-247	A	SMARCC1	mb231
SCFD1	3.26055816937033e-251	0.491952479207249	0.755	0.644	8.15400386996132e-247	A	SCFD1	mb231
ATXN2	1.19505121892784e-250	0.343223359830371	0.919	0.875	2.98858408829475e-246	A	ATXN2	mb231
ANKRD28	6.04415961899359e-250	0.312083037921157	0.953	0.92	1.51152343751792e-245	A	ANKRD28	mb231
EPHA2	9.88291739156789e-248	0.436263925074483	0.81	0.71	2.4715199812833e-243	A	EPHA2	mb231
LRRFIP2	6.21293937578475e-247	0.452751551093223	0.802	0.72	1.55373187909625e-242	A	LRRFIP2	mb231
MCM8	8.46054778315556e-247	0.50470119352003	0.744	0.633	2.11581378961154e-242	A	MCM8	mb231
PTPN11	4.44668015770768e-246	0.345905450107897	0.913	0.869	1.11202577383954e-241	A	PTPN11	mb231
CLIP1	1.32637667420722e-245	0.365361332675091	0.881	0.825	3.31700278685742e-241	A	CLIP1	mb231
QSOX1	6.82553267449266e-245	0.446421387104667	0.782	0.679	1.70692921123712e-240	A	QSOX1	mb231
VPS37B	6.90599043790867e-245	0.592268785017281	0.643	0.515	1.7270500887122e-240	A	VPS37B	mb231
MRPL42	1.82199228347954e-244	0.549534777190997	0.673	0.549	4.55643830252563e-240	A	MRPL42	mb231
TFPI	2.43268838495348e-242	0.414366780630954	0.874	0.814	6.08366711309167e-238	A	TFPI	mb231
PCNX2	5.4086320512705e-239	0.48613540526964	0.773	0.662	1.35259070338173e-234	A	PCNX2	mb231
MT-RNR1	6.19783822260977e-237	0.129056738438569	1	1	1.54995538271025e-232	A	MT-RNR1	mb231
CIT	1.20433502883744e-236	0.505566490651227	0.814	0.738	3.01180104011667e-232	A	CIT	mb231
ANXA3	2.62219535558867e-232	0.438518765278922	0.813	0.732	6.55758614525614e-228	A	ANXA3	mb231
USP15	2.65159800062857e-231	0.426621043633732	0.799	0.703	6.63111627997194e-227	A	USP15	mb231
LIFR	4.53232083218714e-231	0.525984069556027	0.679	0.557	1.13344279371336e-226	A	LIFR	mb231
RBM5	3.70533755867615e-230	0.405673020569661	0.831	0.758	9.26630816673732e-226	A	RBM5	mb231
ESF1	1.60009493175223e-229	0.466496377595638	0.768	0.677	4.00151740532597e-225	A	ESF1	mb231
MAGI3	8.17725547803065e-228	0.402148704746278	0.832	0.753	2.0449680499459e-223	A	MAGI3	mb231
RBM6	2.29832642058804e-227	0.344362865409762	0.899	0.852	5.74765471260657e-223	A	RBM6	mb231
XRN2	7.3655929894752e-226	0.350227875572479	0.888	0.833	1.84198749480796e-221	A	XRN2	mb231
ITGB1	9.62253426319217e-226	0.200429752010494	0.995	0.992	2.4064033685391e-221	A	ITGB1	mb231
KAT6B	1.0771864720519e-225	0.496056246857889	0.733	0.624	2.69382792930739e-221	A	KAT6B	mb231
RALGPS2	3.57596476973559e-225	0.440297848133728	0.794	0.698	8.94277269615477e-221	A	RALGPS2	mb231
DNMBP	4.32655376161583e-225	0.257979674672275	0.961	0.919	1.08198456470489e-220	A	DNMBP	mb231
HNRNPC	1.56430459944876e-223	0.249119482586641	0.975	0.96	3.91201294230145e-219	A	HNRNPC	mb231
MNAT1	2.00635833970841e-223	0.337232239479905	0.896	0.843	5.0175009359428e-219	A	MNAT1	mb231
CHD8	2.38673585687931e-222	0.428963641339244	0.788	0.698	5.96874903088379e-218	A	CHD8	mb231
SNX5	3.07691992197785e-222	0.444913130942992	0.78	0.697	7.69476134088221e-218	A	SNX5	mb231
FLNB	1.54319489568871e-221	0.222497169425242	0.997	0.995	3.85922179513833e-217	A	FLNB	mb231
ALDOA	6.73837035583657e-221	0.324719949715557	0.915	0.87	1.68513165858761e-216	A	ALDOA	mb231
CAPRIN2	4.6460273776614e-220	0.424116729649975	0.755	0.638	1.16187852660556e-215	A	CAPRIN2	mb231
ANKRD1	3.83102222101918e-219	0.585113456196768	0.676	0.55	9.58062037032476e-215	A	ANKRD1	mb231
NAV2	2.1840100741074e-218	0.377909734891251	0.847	0.735	5.46177239332779e-214	A	NAV2	mb231
RNF10	2.91827536733237e-218	0.577102791686258	0.609	0.487	7.29802303862478e-214	A	RNF10	mb231
SPATS2	2.8172283740416e-217	0.397278488787306	0.814	0.713	7.04532471780323e-213	A	SPATS2	mb231
RSRC2	6.312809606586e-217	0.391552193773837	0.83	0.765	1.57870742641503e-212	A	RSRC2	mb231
DOCK5	5.92025818641488e-215	0.281335100628137	0.967	0.945	1.48053816725863e-210	A	DOCK5	mb231
MIS18BP1	6.31520768583204e-213	0.451721759863367	0.781	0.71	1.57930713807288e-208	A	MIS18BP1	mb231
AGPS	1.49204424860993e-212	0.456700548490105	0.754	0.667	3.73130425692372e-208	A	AGPS	mb231
TRAK1	3.50625958036075e-212	0.464779773261603	0.738	0.64	8.76845395856616e-208	A	TRAK1	mb231
ABCC3	1.1557965390131e-210	0.530637650632447	0.661	0.537	2.89041598476397e-206	A	ABCC3	mb231
GTF3C1	7.05075141344382e-210	0.486815830869707	0.703	0.601	1.76325191347403e-205	A	GTF3C1	mb231
NUDC	2.34776410693264e-209	0.434362150095927	0.766	0.687	5.87128847861716e-205	A	NUDC	mb231
NFIA	4.53895931014883e-209	0.378623351063449	0.862	0.798	1.13510294428202e-204	A	NFIA	mb231
CTNNB1	1.45675553375283e-207	0.304514355932868	0.937	0.899	3.64305423880907e-203	A	CTNNB1	mb231
TMPO	2.1485419111608e-207	0.369744833046279	0.866	0.828	5.37307361143093e-203	A	TMPO	mb231
MTCL1	4.0222104009833e-207	0.430886150418107	0.802	0.727	1.0058743770779e-202	A	MTCL1	mb231
ATP2A2	4.62245049393026e-204	0.309812875902341	0.908	0.87	1.15598241952208e-199	A	ATP2A2	mb231
RAB5A	5.47498868671118e-204	0.467156478632146	0.714	0.615	1.36918517077273e-199	A	RAB5A	mb231
NOP56	3.9294036246697e-202	0.358030152833917	0.864	0.799	9.82665258457399e-198	A	NOP56	mb231
CUX1	1.5307814067432e-201	0.314004058973526	0.896	0.84	3.82817814198339e-197	A	CUX1	mb231
MT2A	2.16756406915067e-201	0.458557407396501	0.722	0.601	5.420644224132e-197	A	MT2A	mb231
DPY19L4	4.27871287427849e-200	0.566206375668359	0.603	0.484	1.07002051559957e-195	A	DPY19L4	mb231
SRCAP	4.8191585200652e-200	0.464365123526944	0.719	0.622	1.2051751626979e-195	A	SRCAP	mb231
NEMF	7.26912396520099e-200	0.376647025484034	0.833	0.756	1.81786252121746e-195	A	NEMF	mb231
WDHD1	3.41846882434427e-198	0.493561432782357	0.712	0.615	8.54890683592014e-194	A	WDHD1	mb231
TAOK3	5.80269463980994e-198	0.357773186159259	0.86	0.805	1.45113787552367e-193	A	TAOK3	mb231
NBEAL1	3.66341096596188e-197	0.38075701666691	0.83	0.761	9.16145814367748e-193	A	NBEAL1	mb231
CAND1	6.09926677228681e-196	0.401820265158267	0.776	0.685	1.52530463441349e-191	A	CAND1	mb231
YWHAE	5.23265676930406e-195	0.21675524296719	0.985	0.975	1.30858280486756e-190	A	YWHAE	mb231
EPS8	1.01568085051041e-194	0.340345130881352	0.874	0.82	2.54001467095642e-190	A	EPS8	mb231
SLC25A3	2.96163498660626e-192	0.322481919323186	0.893	0.845	7.40645677450494e-188	A	SLC25A3	mb231
CDK14	4.13479976503336e-191	0.457452293172055	0.662	0.535	1.03403072523954e-186	A	CDK14	mb231
KIF5B	4.41504192787817e-191	0.282017962197251	0.958	0.932	1.10411368532377e-186	A	KIF5B	mb231
ARF4	7.86741247788912e-191	0.330812559664325	0.873	0.815	1.96748251247051e-186	A	ARF4	mb231
NUP107	3.86263689886627e-190	0.438250180244586	0.736	0.645	9.65968235668477e-186	A	NUP107	mb231
CLASP1	2.22405518236017e-189	0.355749067207269	0.858	0.807	5.56191720004632e-185	A	CLASP1	mb231
TBC1D5	6.48525380753922e-188	0.407691620975493	0.83	0.762	1.62183227218941e-183	A	TBC1D5	mb231
ARPC5	9.37265837540502e-186	0.313957172120236	0.884	0.842	2.34391440652129e-181	A	ARPC5	mb231
CLIC4	1.26880609461707e-185	0.281150247814951	0.927	0.884	3.17303028141836e-181	A	CLIC4	mb231
FZD6	1.27222583859625e-185	0.450933466262151	0.711	0.616	3.18158237716149e-181	A	FZD6	mb231
MTBP	2.78855721589912e-185	0.54265754871427	0.616	0.509	6.97362388552052e-181	A	MTBP	mb231
XPOT	5.02625549574834e-184	0.367895328113687	0.781	0.694	1.25696597437674e-179	A	XPOT	mb231
SASH1	1.65708667368727e-183	0.559631651323645	0.605	0.493	4.14404235355713e-179	A	SASH1	mb231
ODF2L	2.69074922977181e-183	0.39202685329958	0.781	0.706	6.72902567381335e-179	A	ODF2L	mb231
OSBPL8	9.70077813644395e-182	0.288643939369203	0.913	0.872	2.4259705963619e-177	A	OSBPL8	mb231
MARS1	2.40713924983149e-181	0.486380212085529	0.634	0.52	6.0197738359786e-177	A	MARS1	mb231
AIG1	3.61957485960737e-180	0.52898560788955	0.625	0.517	9.05183280890611e-176	A	AIG1	mb231
SLMAP	1.75544398234545e-179	0.290485372609032	0.911	0.873	4.3900143110495e-175	A	SLMAP	mb231
MPHOSPH9	4.04188636390234e-179	0.367810797439449	0.817	0.756	1.0107949418847e-174	A	MPHOSPH9	mb231
CDCP1	1.53639404407709e-178	0.279606897093454	0.925	0.879	3.84221422542798e-174	A	CDCP1	mb231
CMTM6	1.97061888279333e-177	0.503542241903807	0.647	0.55	4.92812370208956e-173	A	CMTM6	mb231
PTPRA	2.82291033843302e-176	0.423416738347189	0.746	0.658	7.05953417435328e-172	A	PTPRA	mb231
ATG7	2.63404880942179e-174	0.304922201891354	0.894	0.852	6.58722926260202e-170	A	ATG7	mb231
NKTR	2.6382034894268e-174	0.255978784141461	0.952	0.927	6.59761928635854e-170	A	NKTR	mb231
RPA1	1.90390325697329e-173	0.410730861548565	0.758	0.682	4.76128126503881e-169	A	RPA1	mb231
TIMP3	4.17392534614645e-173	0.322523382203458	0.893	0.834	1.0438152505643e-168	A	TIMP3	mb231
STK3	2.43005262211773e-171	0.30449706704313	0.9	0.866	6.07707559739202e-167	A	STK3	mb231
ENSG00000254526	1.11188722327012e-170	0.430872102767385	0.664	0.543	2.78060756795391e-166	A	ENSG00000254526	mb231
HIF1A	2.43902612567675e-169	0.20768209599963	0.988	0.977	6.09951653509241e-165	A	HIF1A	mb231
PFN1	2.03530393589108e-166	0.337398860926578	0.893	0.858	5.08988808287642e-162	A	PFN1	mb231
EIF3H	1.07163093690941e-165	0.326510103701445	0.845	0.791	2.67993464702305e-161	A	EIF3H	mb231
G2E3	3.37254294276458e-165	0.482055877391248	0.661	0.562	8.43405539126565e-161	A	G2E3	mb231
KIF15	1.70535586624709e-164	0.510670863875326	0.657	0.574	4.26475395031073e-160	A	KIF15	mb231
RBMS1	1.28313720411662e-163	0.312922476317516	0.879	0.827	3.20886952005486e-159	A	RBMS1	mb231
NCBP3	8.15376665424577e-163	0.492071314672167	0.617	0.52	2.03909396489378e-158	A	NCBP3	mb231
ATF7	1.11208192354698e-162	0.47142289981746	0.615	0.506	2.78109447440629e-158	A	ATF7	mb231
MYOF	2.67970450104022e-161	0.175946664442191	0.994	0.993	6.70140501620138e-157	A	MYOF	mb231
